node_id,parent_id,tag,value,path,xpath,parent_path,depth,index_in_parent
a46f2abd-6b0f-46fa-82d0-dd8c057022a2,2f35f94b-03a3-4aa3-9bb5-1d5b2cd437d6,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.LIFOValuationPoolTypeCode.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/LIFOValuationPoolTypeCode/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.LIFOValuationPoolTypeCode,6,0
d1a07299-dc97-4f16-ba67-b1619f6ad8e8,e342084f-6390-4df7-8eb8-12c98542f54a,TaxLawLevelOneEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelOneEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelOneEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,6
d201b0f6-dfa0-4872-868e-33d9192ecb6f,d1a07299-dc97-4f16-ba67-b1619f6ad8e8,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelOneEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelOneEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelOneEvaluatedAmountValue,6,0
f0a99fe0-bed2-4381-81d8-0fec3f00f5cf,e342084f-6390-4df7-8eb8-12c98542f54a,TaxLawLevelTwoEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelTwoEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelTwoEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,7
1c5b6966-b54e-42da-afc0-ac2928d3f62c,f0a99fe0-bed2-4381-81d8-0fec3f00f5cf,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelTwoEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelTwoEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelTwoEvaluatedAmountValue,6,0
f19e134b-599b-4d12-b529-aaac5cd10123,e342084f-6390-4df7-8eb8-12c98542f54a,TaxLawLevelThreeEvaluatedAmountValue,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelThreeEvaluatedAmountValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelThreeEvaluatedAmountValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,8
b6a79348-a477-4035-89e2-2543ebe24624,f19e134b-599b-4d12-b529-aaac5cd10123,@{http://www.w3.org/2001/XMLSchema-instance}nil,true,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelThreeEvaluatedAmountValue.@{http://www.w3.org/2001/XMLSchema-instance}nil,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/TaxLawLevelThreeEvaluatedAmountValue/@{http://www.w3.org/2001/XMLSchema-instance}nil,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.TaxLawLevelThreeEvaluatedAmountValue,6,0
2ba43ce3-c3b3-4c9b-88b3-2e166c4e60f8,e342084f-6390-4df7-8eb8-12c98542f54a,ValuationPriceUnitNumberValue,1,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount.ValuationPriceUnitNumberValue,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/ValuationAccount/ValuationPriceUnitNumberValue,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.ValuationAccount,5,9
4ffc7715-331d-4c9c-ac5e-35e9edde0045,69a12dec-18d3-4d79-b181-2336c0e6d325,LedgerAccount,,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/LedgerAccount,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea,4,21
398575f2-42e6-4900-b665-16f2749c4608,4ffc7715-331d-4c9c-ac5e-35e9edde0045,@actionCode,04,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount.@actionCode,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/LedgerAccount/@actionCode,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount,5,0
652a56b6-63f6-4973-aec9-7526b2a06d29,4ffc7715-331d-4c9c-ac5e-35e9edde0045,CurrencyRoleCode,10,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount.CurrencyRoleCode,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/LedgerAccount/CurrencyRoleCode,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount,5,0
20cd151d-41a2-4f01-b2fb-1921d52117ed,4ffc7715-331d-4c9c-ac5e-35e9edde0045,CurrencyCode,USD,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount.CurrencyCode,/ProductMDMBulkReplicateRequestMessage/ProductMDMReplicateRequestMessage/Product/ValuationArea/LedgerAccount/CurrencyCode,ProductMDMBulkReplicateRequestMessage.ProductMDMReplicateRequestMessage.Product.ValuationArea.LedgerAccount,5,1
